type,title,description,country,author,link
by-country,UN Data: Country Profile- Saudi Arabia,,Saudi Arabia,,http://data.un.org/CountryProfile.aspx?crName=Saudi Arabia/
by-country,UNDP Human Development Reports- Saudi Arabia,,Saudi Arabia,,http://hdr.undp.org/en/countries/profiles/SAU/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- Saudi Arabia,,Saudi Arabia,,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=SAU&regioncode=40525/
by-country,IMF Country Information: Saudi Arabia,,Saudi Arabia,,http://www.imf.org/external/country/SAU/index.htm/
by-country,World Bank: GCC,,Saudi Arabia,,http://www.worldbank.org/en/country/gcc/
by-country,Arab Barometer,,Saudi Arabia,,http://www.arabbarometer.org/country/saudi-arabia/
by-country,The Middle East Media Research Institute: Africa,,Senegal,,http://www.memri.org/content/en/country.htm?country=afric/
by-country,UN Data: Country Profile- Senegal,,Senegal,,http://data.un.org/CountryProfile.aspx?crName=Senegal/
by-country,UNDP Human Development Reports- Senegal,,Senegal,,http://hdr.undp.org/en/countries/profiles/SEN/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- Senegal,,Senegal,,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=SEN&regioncode=40540/
by-country,IMF Country Information: Senegal,,Senegal,,http://www.imf.org/external/country/SEN/index.htm/
by-country,World Bank: Senegal,,Senegal,,http://www.worldbank.org/en/country/senegal/
by-country,The Middle East Media Research Institute: Africa,,"Sierra Leone, Republic of",,http://www.memri.org/content/en/country.htm?country=afric/
by-country,UN Data: Country Profile- Sierra Leone,,"Sierra Leone, Republic of",,http://data.un.org/CountryProfile.aspx?crName=Sierra Leone/
by-country,UNDP Human Development Reports- Sierra Leone,,"Sierra Leone, Republic of",,http://hdr.undp.org/en/countries/profiles/SLE/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- Sierra Leone,,"Sierra Leone, Republic of",,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=SLE&regioncode=40540/
by-country,IMF Country Information: Sierra Leone,,"Sierra Leone, Republic of",,http://www.imf.org/external/country/SLE/index.htm/
by-country,World Bank: Sierra Leone,,"Sierra Leone, Republic of",,http://www.worldbank.org/en/country/sierraleone/
by-country,Mapping Militant Organizations: Somalia,,"Somalia, Federal Republic of",,http://web.stanford.edu/group/mappingmilitants/cgi-bin/maps/view/somalia/
by-country,BBC Somalia Country Profile,,"Somalia, Federal Republic of",,http://www.bbc.com/news/world-africa-14094503/
by-country,UN Data: Country Profile- Somalia,,"Somalia, Federal Republic of",,http://data.un.org/CountryProfile.aspx?crName=Somalia/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- Somalia,,"Somalia, Federal Republic of",,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=SOM&regioncode=40540/
by-country,IMF Country Information: Somalia,,"Somalia, Federal Republic of",,http://www.imf.org/external/country/SOM/index.htm/
by-country,World Bank: Somalia,,"Somalia, Federal Republic of",,http://www.worldbank.org/en/country/somalia/
by-country,BBC Sudan Country Profile,,"Sudan, Republic of the",,http://www.bbc.com/news/world-africa-14094995/
by-country,The Middle East Media Research Institute: North Africa,,"Sudan, Republic of the",,http://www.memri.org/content/en/country.htm?country=north/
by-country,UN Data: Country Profile- Sudan,,"Sudan, Republic of the",,http://data.un.org/CountryProfile.aspx?crName=Sudan/
by-country,UNDP Human Development Reports: Sudan,,"Sudan, Republic of the",,http://hdr.undp.org/en/countries/profiles/SDN/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- Sudan,,"Sudan, Republic of the",,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=SDN&regioncode=40525/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- Sudan Pre-Secession,,"Sudan, Republic of the",,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=XDN&regioncode=40525/
by-country,IMF Country Information: Sudan,,"Sudan, Republic of the",,http://www.imf.org/external/country/SDN/index.htm/
by-country,World Bank: Sudan,,"Sudan, Republic of the",,http://www.worldbank.org/en/country/sudan/
by-country,Arab Barometer: Sudan,,"Sudan, Republic of the",,http://www.arabbarometer.org/country/sudan/
by-country,UN Data: Country Profile- Suriname,,Suriname,,http://data.un.org/CountryProfile.aspx?crName=Suriname/
by-country,UNDP Human Development Reports: Suriname,,Suriname,,http://hdr.undp.org/en/countries/profiles/SUR/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- Suriname,,Suriname,,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=SUR&regioncode=40520/
by-country,IMF Country Information: Suriname,,Suriname,,http://www.imf.org/external/country/SUR/index.htm/
by-country,World Bank: Suriname,,Suriname,,http://www.worldbank.org/en/country/suriname/
by-country,Mapping Militant Organizations: Syria,,Syria (the Syrian Arab Republic),,http://web.stanford.edu/group/mappingmilitants/cgi-bin/maps/view/syria/
by-country,Your Cheat Sheet to the Syrian Conflict,,Syria (the Syrian Arab Republic),,http://www.pbs.org/newshour/rundown/your-cheat-sheet-to-the-syrian-conflict/
by-country,Syria Visualizations Illustrate Complexity & Division,,Syria (the Syrian Arab Republic),,http://www.scribblelive.com/blog/2013/09/05/syria-visualizations/
by-country,Connecting Syria's Allies and Enemies: Interactive Infographic,,Syria (the Syrian Arab Republic),,http://www.aljazeera.com/indepth/interactive/2013/08/201383111193558894.html/
by-country,Syria Regional Refugee Response,"This source is an inter-agency information sharing portal that provides interactive graphics, maps, and statistics on the Syrian Refugee Crisis.",Syria (the Syrian Arab Republic),,http://data.unhcr.org/syrianrefugees/regional.php/
by-country,Syria: The Story of Conflict BBC,,Syria (the Syrian Arab Republic),,http://www.bbc.com/news/world-middle-east-26116868/
by-country,The Middle East Research Institute: Syria,,Syria (the Syrian Arab Republic),,http://www.memri.org/media-reports-syria.html/
by-country,UN Data: Country Profile- Syria,,Syria (the Syrian Arab Republic),,http://data.un.org/CountryProfile.aspx?crName=Syrian Arab Republic/
by-country,UNDP Human Development Reports: Syria,,Syria (the Syrian Arab Republic),,http://hdr.undp.org/en/countries/profiles/SYR/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- Syria,,Syria (the Syrian Arab Republic),,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=SYR&regioncode=40525/
by-country,IMF Country Information: Syria,,Syria (the Syrian Arab Republic),,http://www.imf.org/external/country/SYR/index.htm/
by-country,World Bank: Syria,,Syria (the Syrian Arab Republic),,http://www.worldbank.org/en/country/syria/
by-country,Pieter Van Ostaeyen Blog,"This blog covers much of the situation in Syria and provides IS statements, analysis and reflections on the situation in Syria, consistently updated maps depicting the power relations in Syria, and much more.",Syria (the Syrian Arab Republic),,https://pietervanostaeyen.com/category/syria/
by-country,ISW Resources on Jabhat al-Nusra: Al-Qaeda's Syrian Affiliate,"The Institute of the Study of War's reports on Jabhat al-Nusra, its goals, power relations, relations with the Islamic State, the US, the Syrian Civil War, and local dynamics in Syria.",Syria (the Syrian Arab Republic),,http://www.understandingwar.org/backgrounder/isw-resources-jabhat-al-nusra-al-qaedas-syrian-affiliate/
by-country,"""A new jihadist threat may be on the horizon in Syria""",A Washington Post op-ed on Jabhat al-Nusra's threat in Syria.,Syria (the Syrian Arab Republic),,https://www.washingtonpost.com/opinions/global-opinions/a-new-jihadist-threat-rises-in-syria-as-the-islamic-state-recedes/2016/07/19/f9fd6ae6-4df4-11e6-a422-83ab49ed5e6a_story.html?utm_campaign=ISW Jabhat al-Nusra Resource Page&utm_medium=email&utm_source=ISW Resources on Jabhat al- Nusra/
by-country,UN Data: Country Profile- Tajikistan,,Tajikistan,,http://data.un.org/CountryProfile.aspx?crName=Tajikistan/
by-country,UNDP Human Development Reports: Tajikistan,,Tajikistan,,http://hdr.undp.org/en/countries/profiles/TJK/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- Tajikistan,,Tajikistan,,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=TJK&regioncode=40505/
by-country,IMF Country Information: Tajikistan,,Tajikistan,,http://www.imf.org/external/country/TJK/index.htm/
by-country,World Bank: Tajikistan,,Tajikistan,,http://www.worldbank.org/en/country/tajikistan/
by-country,The Middle East Media Research Institute: Africa,,Togo,,http://www.memri.org/content/en/country.htm?country=afric/
by-country,UN Data: Country Profile- Togo,,Togo,,http://data.un.org/CountryProfile.aspx?crName=Togo/
by-country,UNDP Human Development Reports: Togo,,Togo,,http://hdr.undp.org/en/countries/profiles/TGO/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- Togo,,Togo,,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=TGO&regioncode=40540/
by-country,IMF Country Information: Togo,,Togo,,http://www.imf.org/external/country/TGO/index.htm/
by-country,World Bank: Togo,,Togo,,http://www.worldbank.org/en/country/togo/
by-country,BBC Tunisia Country Profile,,Tunisia,,http://www.bbc.com/news/world-africa-14107241/
by-country,The Middle East Media Research Institute: North Africa,,Tunisia,,http://www.memri.org/content/en/country.htm?country=north/
by-country,UN Data: Country Profile- Tunisia,,Tunisia,,http://data.un.org/CountryProfile.aspx?crName=Tunisia/
by-country,Counter Extremism Profile: Tunisia,,Tunisia,,http://www.counterextremism.com/countries/tunisia/
by-country,UNDP Human Development Reports: Tunisia,,Tunisia,,http://hdr.undp.org/en/countries/profiles/TUN/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- Tunisia,,Tunisia,,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=TUN&regioncode=40525/
by-country,IMF Country Information: Tunisia,,Tunisia,,http://www.imf.org/external/country/TUN/index.htm/
by-country,World Bank: Tunisia,,Tunisia,,http://www.worldbank.org/en/country/tunisia/
by-country,Arab Barometer: Tunisia,,Tunisia,,http://www.arabbarometer.org/country/tunisia/
by-country,The Middle East Media Research Institute: Turkey,,Turkey,,http://www.memri.org/turkey-media.html/
by-country,UN Data: Country Profile- Turkey,,Turkey,,http://data.un.org/CountryProfile.aspx?crName=Turkey/
by-country,Counter Extremism Profile: Turkey,,Turkey,,http://www.counterextremism.com/countries/turkey/
by-country,UNDP Human Development Reports: Turkey,,Turkey,,http://hdr.undp.org/en/countries/profiles/TUR/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- Turkey,,Turkey,,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=TUR&regioncode=40530/
by-country,Databank World Bank: Turkey,,Turkey,,http://databank.worldbank.org/data/reports.aspx?Code=IDN&id=556d8fa6&report_name=Popular_countries&populartype=country&ispopular=y/
by-country,IMF Country Information: Turkey,,Turkey,,http://www.imf.org/external/country/TUR/index.htm/
by-country,World Bank: Turkey,,Turkey,,http://www.worldbank.org/en/country/turkey/
by-country,CSIS: Turkey Project,,Turkey,,https://www.csis.org/programs/turkey-project/
by-country,BBC Turkmenistan Country Profile,,Turkmenistan,,http://www.bbc.com/news/world-asia-16094646/
by-country,UN Data: Country Profile- Turkmenistan,,Turkmenistan,,http://data.un.org/CountryProfile.aspx?crName=Turkmenistan/
by-country,UNDP Human Development Reports: Turkmenistan,,Turkmenistan,,http://hdr.undp.org/en/countries/profiles/TKM/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- Turkmenistan,,Turkmenistan,,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=TKM&regioncode=40505/
by-country,IMF Country Information: Turkmenistan,,Turkmenistan,,http://www.imf.org/external/country/TKM/index.htm/
by-country,World Bank: Turkmenistan,,Turkmenistan,,http://www.worldbank.org/en/country/turkmenistan/
by-country,BBC United Arab Emirates Country Profile,,United Arab Emirates,,http://www.bbc.com/news/world-middle-east-14703998/
by-country,The Middle East Media Research Institute: The Gulf,,United Arab Emirates,,http://www.memri.org/content/en/country.htm?country=the_g/
by-country,UN Data: Country Profile- United Arab Emirates,,United Arab Emirates,,http://data.un.org/CountryProfile.aspx?crName=United Arab Emirates/
by-country,UNDP Human Development Reports: United Arab Emirates,,United Arab Emirates,,http://hdr.undp.org/en/countries/profiles/ARE/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- United Arab Emirates,,United Arab Emirates,,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=ARE&regioncode=40525/
by-country,IMF Country Information: United Arab Emirates,,United Arab Emirates,,http://www.imf.org/external/country/ARE/index.htm/
by-country,World Bank: GCC,,United Arab Emirates,,http://www.worldbank.org/en/country/gcc/
by-country,UN Data: Country Profile- Uzbekistan,,Uzbekistan,,http://data.un.org/CountryProfile.aspx?crName=Uzbekistan/
by-country,UNDP Human Development Reports: Uzbekistan,,Uzbekistan,,http://hdr.undp.org/en/countries/profiles/UZB/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- Uzbekistan,,Uzbekistan,,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=UZB&regioncode=40505/
by-country,IMF Country Information: Uzbekistan,,Uzbekistan,,http://www.imf.org/external/country/UZB/index.htm/
by-country,World Bank: Uzbekistan,,Uzbekistan,,http://www.worldbank.org/en/country/uzbekistan/
by-country,BBC Yemen Country Profile,,"Yemen, Republic of",,http://www.bbc.com/news/world-middle-east-14704852/
by-country,The Middle East Media Research Institute: The Gulf,,"Yemen, Republic of",,http://www.memri.org/content/en/country.htm?country=the_g/
by-country,UN Data: Country Profile- Yemen,,"Yemen, Republic of",,http://data.un.org/CountryProfile.aspx?crName=Yemen/
by-country,UNDP Human Development Reports: Yemen,,"Yemen, Republic of",,http://hdr.undp.org/en/countries/profiles/YEM/
by-country,UNESCO Institute for Statistics: Regional and Country Profiles- Yemen,,"Yemen, Republic of",,http://www.uis.unesco.org/DataCentre/Pages/country-profile.aspx?code=YEM&regioncode=40525/
by-country,IMF Country Information: Yemen,,"Yemen, Republic of",,http://www.imf.org/external/country/YEM/index.htm/
by-country,World Bank: Yemen,,"Yemen, Republic of",,http://www.worldbank.org/en/country/yemen/
by-country,"Charting the data for US airstrikes in Yemen, 2002 – 2016",The Long War Journal's data by Bill Roggio and Bob Barry provides 3 charts with data from 2002 and 2009-2016: 1) the number of US airstrikes inside Yemen 2) civilian casualties vs. al-Qaeda in the Arabian Peninsula casualties; 3) the distribution of strikes over time by provinces.,"Yemen, Republic of",,http://www.longwarjournal.org/yemen-strikes/
by-country,Arab Barometer: Yemen,,"Yemen, Republic of",,http://www.arabbarometer.org/country/yemen/
